"V1"	"V2"	"V3"
"SET3/REP_1"	"0.08"	"0.014"
"SET3/REP_10"	"0.094"	"0.014"
"SET3/REP_2"	"0.0665"	"0.011"
"SET3/REP_3"	"0.134"	"0.018"
"SET3/REP_4"	"0.073"	"0.011"
"SET3/REP_5"	"0.072"	"0.007"
"SET3/REP_6"	"0.114"	"0.018"
"SET3/REP_7"	"0.0975"	"0.018"
"SET3/REP_8"	"0.0795"	"0.012"
"SET3/REP_9"	"0.0805"	"0.018"
"SET4/REP_1"	"0.104"	"0.016"
"SET4/REP_10"	"0.0985"	"0.02"
"SET4/REP_2"	"0.0805"	"0.013"
"SET4/REP_3"	"0.0765"	"0.013"
"SET4/REP_4"	"0.1285"	"0.021"
"SET4/REP_5"	"0.099"	"0.017"
"SET4/REP_6"	"0.085"	"0.016"
"SET4/REP_7"	"0.1075"	"0.018"
"SET4/REP_8"	"0.078"	"0.008"
"SET4/REP_9"	"0.0725"	"0.019"
"SET5/REP_1"	"0.103"	"0.011"
"SET5/REP_10"	"0.06"	"0.01"
"SET5/REP_2"	"0.1055"	"0.018"
"SET5/REP_3"	"0.0535"	"0.006"
"SET5/REP_4"	"0.0795"	"0.011"
"SET5/REP_5"	"0.097"	"0.013"
"SET5/REP_6"	"0.079"	"0.015"
"SET5/REP_7"	"0.0705"	"0.01"
"SET5/REP_8"	"0.0715"	"0.009"
"SET5/REP_9"	"0.0835"	"0.013"
"SET6/REP_1"	"0.0925"	"0.015"
"SET6/REP_10"	"0.1175"	"0.019"
"SET6/REP_2"	"0.0765"	"0.013"
"SET6/REP_3"	"0.092"	"0.016"
"SET6/REP_4"	"0.1025"	"0.013"
"SET6/REP_5"	"0.0785"	"0.019"
"SET6/REP_6"	"0.0955"	"0.018"
"SET6/REP_7"	"0.0955"	"0.014"
"SET6/REP_8"	"0.0825"	"0.016"
"SET6/REP_9"	"0.0865"	"0.011"
"SET7/REP_1"	"0.0775"	"0.012"
"SET7/REP_10"	"0.0715"	"0.018"
"SET7/REP_2"	"0.092"	"0.018"
"SET7/REP_3"	"0.097"	"0.018"
"SET7/REP_4"	"0.0755"	"0.015"
"SET7/REP_5"	"0.0985"	"0.016"
"SET7/REP_6"	"0.0625"	"0.006"
"SET7/REP_7"	"0.084"	"0.018"
"SET7/REP_8"	"0.0515"	"0.004"
"SET7/REP_9"	"0.087"	"0.02"
"SET8/REP_1"	"0.092"	"0.016"
"SET8/REP_10"	"0.0555"	"0.008"
"SET8/REP_2"	"0.079"	"0.008"
"SET8/REP_3"	"0.083"	"0.012"
"SET8/REP_4"	"0.0795"	"0.009"
"SET8/REP_5"	"0.112"	"0.012"
"SET8/REP_6"	"0.0835"	"0.012"
"SET8/REP_7"	"0.073"	"0.01"
"SET8/REP_8"	"0.123"	"0.021"
"SET8/REP_9"	"0.097"	"0.013"
"SET9/REP_1"	"0.072"	"0.008"
"SET9/REP_10"	"0.105"	"0.014"
"SET9/REP_2"	"0.0645"	"0.014"
"SET9/REP_3"	"0.1015"	"0.014"
"SET9/REP_4"	"0.119"	"0.018"
"SET9/REP_5"	"0.0585"	"0.007"
"SET9/REP_6"	"0.0815"	"0.017"
"SET9/REP_7"	"0.091"	"0.013"
"SET9/REP_8"	"0.088"	"0.013"
"SET9/REP_9"	"0.1105"	"0.016"
